day,day_of_year,weekday,hour,is_weekend,temp_c,load_kw,in_tariff_peak,is_demand_peak
0,1,0,0,0,11.42,0.1821,0,0
0,1,0,1,0,9.35,0.15,0,0
0,1,0,2,0,7.6,0.1696,0,0
0,1,0,3,0,9.35,0.1323,0,0
0,1,0,4,0,9.41,0.1216,0,0
0,1,0,5,0,7.78,0.2015,0,0
0,1,0,6,0,9.12,0.2414,0,0
0,1,0,7,0,11.85,0.6709,0,1
0,1,0,8,0,11.73,0.2959,0,0
0,1,0,9,0,13.52,0.2328,0,0
0,1,0,10,0,13.95,0.128,0,0
0,1,0,11,0,15.49,0.2428,0,0
0,1,0,12,0,17.79,0.9489,0,1
0,1,0,13,0,19.61,0.1996,0,0
0,1,0,14,0,19.93,0.1891,0,0
0,1,0,15,0,20.27,0.128,0,0
0,1,0,16,0,21.52,0.1986,0,0
0,1,0,17,0,18.41,0.1515,0,0
0,1,0,18,0,18.02,0.5745,1,0
0,1,0,19,0,16.9,0.6264,1,0
0,1,0,20,0,15.19,1.1045,1,1
0,1,0,21,0,15.23,0.4215,1,0
0,1,0,22,0,11.78,0.4721,0,0
0,1,0,23,0,11.91,0.5799,0,0
1,2,1,0,0,9.26,0.1551,0,0
1,2,1,1,0,9.42,0.1538,0,0
1,2,1,2,0,9.04,0.1305,0,0
1,2,1,3,0,8.51,0.1426,0,0
1,2,1,4,0,7.77,0.147,0,0
1,2,1,5,0,7.86,0.2407,0,0
1,2,1,6,0,10.27,0.3746,0,0
1,2,1,7,0,10.57,0.8078,0,1
1,2,1,8,0,12.76,0.1617,0,0
1,2,1,9,0,16.21,0.2759,0,0
1,2,1,10,0,15.89,0.1186,0,0
1,2,1,11,0,18.38,0.174,0,0
1,2,1,12,0,16.91,0.1884,0,0
1,2,1,13,0,20.05,0.2362,0,0
1,2,1,14,0,18.11,0.1591,0,0
1,2,1,15,0,18.52,0.2749,0,0
1,2,1,16,0,21.16,0.2089,0,0
1,2,1,17,0,17.09,0.2319,0,0
1,2,1,18,0,17.52,0.5034,1,0
1,2,1,19,0,15.48,1.2476,1,1
1,2,1,20,0,16.37,1.0338,1,1
1,2,1,21,0,13.46,0.7108,1,0
1,2,1,22,0,14.93,0.4942,0,0
1,2,1,23,0,11.18,0.4349,0,0
2,3,2,0,0,10.16,0.1799,0,0
2,3,2,1,0,9.51,0.1769,0,0
2,3,2,2,0,9.26,0.1461,0,0
2,3,2,3,0,8.64,0.186,0,0
2,3,2,4,0,8.59,0.1521,0,0
2,3,2,5,0,9.38,0.2131,0,0
2,3,2,6,0,9.82,1.0215,0,1
2,3,2,7,0,12.67,0.7077,0,0
2,3,2,8,0,9.35,0.279,0,0
2,3,2,9,0,14.14,0.2801,0,0
2,3,2,10,0,16.01,0.2179,0,0
2,3,2,11,0,14.35,0.1578,0,0
2,3,2,12,0,18.15,1.0607,0,1
2,3,2,13,0,17.41,0.3044,0,0
2,3,2,14,0,19.0,0.2464,0,0
2,3,2,15,0,18.89,0.1896,0,0
2,3,2,16,0,16.96,0.13,0,0
2,3,2,17,0,19.54,1.045,0,1
2,3,2,18,0,17.52,0.4575,1,0
2,3,2,19,0,15.58,0.5649,1,0
2,3,2,20,0,13.02,0.6374,1,0
2,3,2,21,0,14.6,0.5798,1,0
2,3,2,22,0,11.06,0.6836,0,0
2,3,2,23,0,11.49,0.489,0,0
3,4,3,0,0,8.03,0.139,0,0
3,4,3,1,0,7.67,0.1518,0,0
3,4,3,2,0,8.48,0.1705,0,0
3,4,3,3,0,8.72,0.1657,0,0
3,4,3,4,0,9.55,0.176,0,0
3,4,3,5,0,8.75,0.3294,0,0
3,4,3,6,0,9.33,0.8662,0,0
3,4,3,7,0,9.31,0.2028,0,0
3,4,3,8,0,12.1,0.2878,0,0
3,4,3,9,0,13.32,0.1942,0,0
3,4,3,10,0,13.23,1.1905,0,1
3,4,3,11,0,15.64,0.1342,0,0
3,4,3,12,0,17.48,0.2884,0,0
3,4,3,13,0,20.25,0.2355,0,0
3,4,3,14,0,20.33,1.1345,0,1
3,4,3,15,0,19.43,0.1841,0,0
3,4,3,16,0,19.57,1.2543,0,1
3,4,3,17,0,16.75,0.2649,0,0
3,4,3,18,0,16.82,0.536,1,0
3,4,3,19,0,17.95,0.5157,1,0
3,4,3,20,0,15.63,0.6942,1,0
3,4,3,21,0,13.4,0.6344,1,0
3,4,3,22,0,10.55,0.5724,0,0
3,4,3,23,0,10.2,0.6143,0,0
4,5,4,0,0,10.06,0.1215,0,0
4,5,4,1,0,8.14,0.1836,0,0
4,5,4,2,0,10.26,0.1619,0,0
4,5,4,3,0,6.67,0.1786,0,0
4,5,4,4,0,8.86,0.1602,0,0
4,5,4,5,0,8.44,0.3842,0,0
4,5,4,6,0,12.05,0.9518,0,1
4,5,4,7,0,11.35,0.6219,0,0
4,5,4,8,0,12.77,0.1482,0,0
4,5,4,9,0,13.74,0.169,0,0
4,5,4,10,0,17.46,1.0176,0,1
4,5,4,11,0,16.38,0.1331,0,0
4,5,4,12,0,17.74,0.3041,0,0
4,5,4,13,0,19.15,0.1599,0,0
4,5,4,14,0,19.62,0.1887,0,0
4,5,4,15,0,18.4,0.1936,0,0
4,5,4,16,0,18.58,0.8921,0,1
4,5,4,17,0,19.36,0.339,0,0
4,5,4,18,0,17.42,0.6157,1,0
4,5,4,19,0,16.33,0.6793,1,0
4,5,4,20,0,14.31,0.6592,1,0
4,5,4,21,0,13.0,0.6279,1,0
4,5,4,22,0,11.21,0.4408,0,0
4,5,4,23,0,10.14,0.7455,0,0
5,6,5,0,1,7.77,0.1598,0,0
5,6,5,1,1,6.42,0.1351,0,0
5,6,5,2,1,8.02,0.1554,0,0
5,6,5,3,1,8.48,0.166,0,0
5,6,5,4,1,8.78,0.1416,0,0
5,6,5,5,1,10.41,0.3124,0,0
5,6,5,6,1,9.34,0.298,0,0
5,6,5,7,1,9.55,0.9062,0,0
5,6,5,8,1,12.24,0.2655,0,0
5,6,5,9,1,13.74,0.173,0,0
5,6,5,10,1,16.17,1.0507,0,0
5,6,5,11,1,16.47,0.1914,0,0
5,6,5,12,1,17.74,1.3728,0,1
5,6,5,13,1,18.37,0.3896,0,0
5,6,5,14,1,20.41,0.2623,0,0
5,6,5,15,1,18.09,1.1867,0,1
5,6,5,16,1,19.77,0.328,0,0
5,6,5,17,1,18.47,1.1652,0,1
5,6,5,18,1,18.31,0.7985,1,0
5,6,5,19,1,16.6,0.6312,1,0
5,6,5,20,1,17.52,0.5325,1,0
5,6,5,21,1,12.02,0.7818,1,0
5,6,5,22,1,12.24,0.6265,0,0
5,6,5,23,1,8.15,0.5763,0,0
6,7,6,0,1,7.67,0.1625,0,0
6,7,6,1,1,10.08,0.1644,0,0
6,7,6,2,1,7.6,0.1735,0,0
6,7,6,3,1,9.08,0.1259,0,0
6,7,6,4,1,10.36,0.1584,0,0
6,7,6,5,1,10.28,0.2414,0,0
6,7,6,6,1,11.34,0.7451,0,0
6,7,6,7,1,11.01,0.7649,0,0
6,7,6,8,1,12.52,0.1512,0,0
6,7,6,9,1,12.75,0.1585,0,0
6,7,6,10,1,16.03,0.2841,0,0
6,7,6,11,1,16.23,0.1958,0,0
6,7,6,12,1,16.19,0.1348,0,0
6,7,6,13,1,18.0,0.2645,0,0
6,7,6,14,1,18.78,1.0792,0,1
6,7,6,15,1,19.22,1.0758,0,1
6,7,6,16,1,19.3,0.2951,0,0
